college_name,college_website,bigfuture_link,students,total_amount_awarded,college_finaid_link,engineering,generosity_index
Princeton University,www.princeton.edu,https://bigfuture.collegeboard.org/college-university-search/princeton-university,433,"$21,180,000 ",https://admission.princeton.edu/cost-aid,https://www.princeton.edu/academics/areas-of-study/engineering,1
Williams College,www.williams.edu,https://bigfuture.collegeboard.org/college-university-search/williams-college,92,"$5,784,344 ",https://admission.williams.edu/apply/international-applicants/,joint degrees,1
Amherst College,www.amherst.edu,https://bigfuture.collegeboard.org/college-university-search/amherst-college,147,"$9,117,196 ",https://www.amherst.edu/offices/financialaid/international_students,joint degrees,1
Harvard University,www.college.harvard.edu,https://bigfuture.collegeboard.org/college-university-search/harvard-college,592,"$35,845,904 ",https://college.harvard.edu/financial-aid/applying-aid/international-students,https://college.harvard.edu/academics/fields-study/concentrations,1
Bowdoin College,www.bowdoin.edu,https://bigfuture.collegeboard.org/college-university-search/bowdoin-college,41,"$2,010,562 ",http://www.bowdoin.edu/admissions/apply/international-students,joint degrees,2
Swarthmore College,www.swarthmore.edu,https://bigfuture.collegeboard.org/college-university-search/swarthmore-college,56,NA,https://www.swarthmore.edu/admissions-aid/international-students,general engineering,2
Wellesley College,www.wellesley.edu,https://bigfuture.collegeboard.org/college-university-search/wellesley-college,90,"$5,223,268 ",https://www.wellesley.edu/admission/esp/international,joint degrees,2
Yale University,www.yale.edu,https://bigfuture.collegeboard.org/college-university-search/yale-university,350,NA,https://admissions.yale.edu/applying-yale-international-student#financialaid,https://www.yale.edu/academics/departments-programs,1
Columbia University,www.college.columbia.edu,https://bigfuture.collegeboard.org/college-university-search/columbia-university,NA,NA,https://undergrad.admissions.columbia.edu/apply/intl_fa,https://engineering.columbia.edu/files/engineering/ExploringMajorsBooklet2013.pdf,3
Massachusetts Institute of Technology,web.mit.edu,https://bigfuture.collegeboard.org/college-university-search/massachusetts-institute-of-technology,342,"$17,690,728 ",http://catalog.mit.edu/mit/undergraduate-education/financial-aid/,https://engineering.mit.edu/academics/undergraduate/,2
Stanford University,www.stanford.edu,https://bigfuture.collegeboard.org/college-university-search/stanford-university,188,"$11,461,928 ",https://financialaid.stanford.edu/undergrad/how/international.html,https://majors.stanford.edu/,1
Middlebury College,www.middlebury.edu,https://bigfuture.collegeboard.org/college-university-search/middlebury-college,138,"$8,000,390 ",http://www.middlebury.edu/admissions/finaid,joint degrees,2
Pomona College,www.pomona.edu,https://bigfuture.collegeboard.org/college-university-search/pomona-college,80,"$4,401,760 ",https://www.pomona.edu/financial-aid/applying-for-aid/international-aid,joint degrees,2
Carleton College,www.carleton.edu,https://bigfuture.collegeboard.org/college-university-search/carleton-college,67,"$2,965,263 ",https://apps.carleton.edu/admissions/afford/international_scholarships/,joint degrees,1
Claremont McKenna College,www.cmc.edu,https://bigfuture.collegeboard.org/college-university-search/claremont-mc-kenna-college,25,"$1,224,493 ",https://www.cmc.edu/admission/international,joint degrees,2
University of Pennsylvania,www.upenn.edu,https://bigfuture.collegeboard.org/college-university-search/university-of-pennsylvania,332,NA,http://www.admissions.upenn.edu/costs-financial-aid/financial-aid-for-international-students,https://www.seas.upenn.edu/undergraduate/degrees/,1
Duke University,www.duke.edu,https://bigfuture.collegeboard.org/college-university-search/duke-university,NA,NA,https://financialaid.duke.edu/undergraduate-applicants/other-sources-aid,https://pratt.duke.edu/undergrad/degrees/bse,1
California Institute of Technology,www.caltech.edu,https://bigfuture.collegeboard.org/college-university-search/california-institute-of-technology,33,"$1,710,292 ",https://finaid.caltech.edu/applying/NewInternational,http://www.admissions.caltech.edu/content/options-majors,3
Davidson College,www.davidson.edu,https://bigfuture.collegeboard.org/college-university-search/davidson-college,60,"$2,943,421 ",https://www.davidson.edu/admission-and-financial-aid/how-to-apply/international-students/financial-aid,general engineering,2
Washington and Lee University,www.wlu.edu,https://bigfuture.collegeboard.org/college-university-search/washington-and-lee-university,59,"$3,299,644 ",https://www.wlu.edu/financial-aid/types-of-aid/aid-for-international-students,general engineering,2
Dartmouth College,www.dartmouth.edu,https://bigfuture.collegeboard.org/college-university-search/dartmouth-college,257,"$15,367,803 ",https://financialaid.dartmouth.edu/apply-aid/international-students,https://home.dartmouth.edu/education/degrees,1
Johns Hopkins University,www.jhu.edu,https://bigfuture.collegeboard.org/college-university-search/johns-hopkins-university,NA,NA,https://finaid.jhu.edu/undergraduate-aid/international-students/,https://www.jhu.edu/academics/#!/programlevel=bachelors,2
Northwestern University,www.northwestern.edu,https://bigfuture.collegeboard.org/college-university-search/northwestern-university,105,"$5,797,966 ",http://admissions.northwestern.edu/tuition-aid/international-student-aid/,https://www.northwestern.edu/academics/undergraduate-a-to-z.html,3
Colby College,www.colby.edu,https://bigfuture.collegeboard.org/college-university-search/colby-college,82,"$4,191,443 ",https://www.colby.edu/admission/apply/international/,joint degrees,2
Colgate University,www.colgate.edu,https://bigfuture.collegeboard.org/college-university-search/colgate-university,114,NA,http://www.colgate.edu/admission-financial-aid/international-students,joint degrees,1
Harvey Mudd College,www.hmc.edu,https://bigfuture.collegeboard.org/college-university-search/harvey-mudd-college,29,"$793,499 ",https://www.hmc.edu/admission/afford/international-student-financial-aid/,general engineering,3
Smith College,www.smith.edu,https://bigfuture.collegeboard.org/college-university-search/smith-college,154,"$8,642,029 ",https://www.smith.edu/admission-aid/financial-aid/international,general engineering,2
Vassar College,www.vassar.edu,https://bigfuture.collegeboard.org/college-university-search/vassar-college,92,NA,https://admissions.vassar.edu/apply/answers/international.html,joint degrees,3
