"","college_name","national_rank","link","liberal_rank"
"1","Princeton University",1,"/best-colleges/princeton-university-2627",NA
"2","Harvard University",2,"/best-colleges/harvard-university-2155",NA
"3","University of Chicago",3,"/best-colleges/university-of-chicago-1774",NA
"4","Yale University",3,"/best-colleges/yale-university-1426",NA
"5","Columbia University",5,"/best-colleges/columbia-university-2707",NA
"6","Massachusetts Institute of Technology",5,"/best-colleges/mit-2178",NA
"7","Stanford University",5,"/best-colleges/stanford-1305",NA
"8","University of Pennsylvania",8,"/best-colleges/university-of-pennsylvania-3378",NA
"9","Duke University",9,"/best-colleges/duke-university-2920",NA
"10","California Institute of Technology",10,"/best-colleges/cal-tech-1131",NA
"11","Dartmouth College",11,"/best-colleges/dartmouth-college-2573",NA
"12","Johns Hopkins University",11,"/best-colleges/jhu-2077",NA
"13","Northwestern University",11,"/best-colleges/northwestern-1739",NA
"14","Brown University",14,"/best-colleges/brown-university-3401",NA
"15","Cornell University",14,"/best-colleges/cornell-university-2711",NA
"16","Rice University",14,"/best-colleges/rice-3604",NA
"17","Vanderbilt University",14,"/best-colleges/vanderbilt-3535",NA
"18","University of Notre Dame",18,"/best-colleges/notre-dame-1840",NA
"19","Washington University in St. Louis",18,"/best-colleges/washington-university-st-louis-2520",NA
"20","Georgetown University",20,"/best-colleges/georgetown-university-1445",NA
"21","Emory University",21,"/best-colleges/emory-university-1564",NA
"22","University of California--Berkeley",21,"/best-colleges/uc-berkeley-1312",NA
"23","University of California--Los Angeles",21,"/best-colleges/ucla-1315",NA
"24","University of Southern California",21,"/best-colleges/usc-1328",NA
"25","Carnegie Mellon University",25,"/best-colleges/carnegie-mellon-university-3242",NA
"26","University of Virginia",25,"/best-colleges/uva-6968",NA
"27","Wake Forest University",27,"/best-colleges/wake-forest-2978",NA
"28","University of Michigan--Ann Arbor",28,"/best-colleges/university-of-michigan-9092",NA
"29","Tufts University",29,"/best-colleges/tufts-university-2219",NA
"30","New York University",30,"/best-colleges/nyu-2785",NA
"31","University of North Carolina--Chapel Hill",30,"/best-colleges/unc-2974",NA
"32","Boston College",32,"/best-colleges/boston-college-2128",NA
"33","College of William and Mary",32,"/best-colleges/william-and-mary-3705",NA
"34","Brandeis University",34,"/best-colleges/brandeis-university-2133",NA
"35","Georgia Institute of Technology",34,"/best-colleges/georgia-tech-1569",NA
"36","University of Rochester",34,"/best-colleges/university-of-rochester-2894",NA
"37","Boston University",37,"/best-colleges/boston-university-2130",NA
"38","Case Western Reserve University",37,"/best-colleges/case-western-reserve-university-3024",NA
"39","University of California--Santa Barbara",37,"/best-colleges/ucsb-1320",NA
