"","college_name","combined_rank","national_rank","liberal_rank","students","aid","link","act_lower_quartile","act_upper_quartile","sat_lower_quartile","sat_upper_quartile"
"1","Princeton University",1,1,NA,409,44466,"/best-colleges/princeton-university-2627","32","35","1450","1590"
"2","Williams College",1,NA,1,80,55119,"/best-colleges/williams-college-2229","31","34","1390","1560"
"3","Amherst College",2,NA,2,146,55673,"/best-colleges/amherst-college-2115","31","34","1420","1570"
"4","Harvard University",2,2,NA,530,53409,"/best-colleges/harvard-university-2155","32","35","1480","1600"
"5","Bowdoin College",3,NA,3,NA,43035,"/best-colleges/bowdoin-college-2038",NA,NA,NA,NA
"6","Swarthmore College",3,NA,3,56,48146,"/best-colleges/swarthmore-college-3370","30","34","1360","1550"
"7","Wellesley College",3,NA,3,114,50937,"/best-colleges/wellesley-college-2224","30","33","1370","1530"
"8","Yale University",3,3,NA,350,55862,"/best-colleges/yale-university-1426","32","35","1470","1600"
"9","Columbia University",5,5,NA,NA,53972,"/best-colleges/columbia-university-2707",NA,NA,NA,NA
"10","Massachusetts Institute of Technology",5,5,NA,374,44403,"/best-colleges/mit-2178","33","35","1500","1590"
"11","Stanford University",5,5,NA,187,54194,"/best-colleges/stanford-1305","31","35","1430","1590"
"12","Middlebury College",6,NA,6,129,50530,"/best-colleges/middlebury-college-3691","30","33","1340","1530"
"13","Pomona College",6,NA,6,NA,45738,"/best-colleges/pomona-college-1173","31","34","1400","1560"
"14","Carleton College",8,NA,8,26,36185,"/best-colleges/carleton-college-2340","30","33","1380","1560"
"15","Claremont McKenna College",8,NA,8,NA,21941,"/best-colleges/claremont-mckenna-college-1170","31","33","1380","1520"
"16","University of Pennsylvania",8,8,NA,332,44824,"/best-colleges/university-of-pennsylvania-3378","32","35","1430","1580"
"17","Duke University",9,9,NA,NA,53334,"/best-colleges/duke-university-2920","31","34","1430","1580"
"18","California Institute of Technology",10,10,NA,26,51460,"/best-colleges/cal-tech-1131","34","36","1540","1600"
"19","Davidson College",10,NA,10,NA,39788,"/best-colleges/davidson-college-2918","28","33","1310","1480"
"20","Washington and Lee University",10,NA,10,73,52278,"/best-colleges/washington-and-lee-3768","30","33","1380","1500"
"21","Dartmouth College",11,11,NA,251,53291,"/best-colleges/dartmouth-college-2573","30","34","1410","1570"
"22","Johns Hopkins University",11,11,NA,NA,38518,"/best-colleges/jhu-2077","32","34","1450","1580"
"23","Northwestern University",11,11,NA,NA,42259,"/best-colleges/northwestern-1739","32","34","1450","1570"
"24","Colby College",12,NA,12,82,51794,"/best-colleges/colby-college-2039","30","33","1330","1500"
"25","Colgate University",12,NA,12,114,50281,"/best-colleges/colgate-university-2701","30","33","1350","1500"
"26","Harvey Mudd College",12,NA,12,NA,21556,"/best-colleges/harvey-mudd-college-1171","32","35","1470","1590"
"27","Smith College",12,NA,12,168,48613,"/best-colleges/smith-college-2209",NA,NA,NA,NA
"28","Vassar College",12,NA,12,92,48916,"/best-colleges/vassar-college-2895","30","33","1390","1530"
