ID,college_name,combined_rank,national_rank,liberal_rank,students,aid,usnews_link,bigfuture_link,college_website,Total_Amount_Awarded,Engineering
1,Princeton University,1,1,NA,433,44466,/best-colleges/princeton-university-2627,https://bigfuture.collegeboard.org/college-university-search/princeton-university,www.princeton.edu,"$21,180,000 ",NA
2,Williams College,1,NA,1,92,55119,/best-colleges/williams-college-2229,https://bigfuture.collegeboard.org/college-university-search/williams-college,www.williams.edu,"$5,784,344 ",NA
3,Amherst College,2,NA,2,147,55673,/best-colleges/amherst-college-2115,https://bigfuture.collegeboard.org/college-university-search/amherst-college,www.amherst.edu,"$9,117,196 ",NA
4,Harvard University,2,2,NA,592,53409,/best-colleges/harvard-university-2155,https://bigfuture.collegeboard.org/college-university-search/harvard-college,www.college.harvard.edu,"$35,845,904 ",NA
5,Bowdoin College,3,NA,3,41,43035,/best-colleges/bowdoin-college-2038,https://bigfuture.collegeboard.org/college-university-search/bowdoin-college,www.bowdoin.edu,"$2,010,562 ",NA
6,Swarthmore College,3,NA,3,56,48146,/best-colleges/swarthmore-college-3370,https://bigfuture.collegeboard.org/college-university-search/swarthmore-college,www.swarthmore.edu,NA,NA
7,Wellesley College,3,NA,3,90,50937,/best-colleges/wellesley-college-2224,https://bigfuture.collegeboard.org/college-university-search/wellesley-college,www.wellesley.edu,"$5,223,268 ",NA
8,Yale University,3,3,NA,350,55862,/best-colleges/yale-university-1426,https://bigfuture.collegeboard.org/college-university-search/yale-university,www.yale.edu,NA,NA
9,Columbia University,5,5,NA,NA,53972,/best-colleges/columbia-university-2707,https://bigfuture.collegeboard.org/college-university-search/columbia-university,www.columbia.edu,NA,NA
10,Massachusetts Institute of Technology,5,5,NA,342,44403,/best-colleges/mit-2178,https://bigfuture.collegeboard.org/college-university-search/massachusetts-institute-of-technology,web.mit.edu,"$17,690,728 ",NA
11,Stanford University,5,5,NA,188,54194,/best-colleges/stanford-1305,https://bigfuture.collegeboard.org/college-university-search/stanford-university,www.stanford.edu,"$11,461,928 ",NA
12,Middlebury College,6,NA,6,138,50530,/best-colleges/middlebury-college-3691,https://bigfuture.collegeboard.org/college-university-search/middlebury-college,www.middlebury.edu,"$8,000,390 ",NA
13,Pomona College,6,NA,6,80,45738,/best-colleges/pomona-college-1173,https://bigfuture.collegeboard.org/college-university-search/pomona-college,www.pomona.edu,"$4,401,760 ",NA
14,Carleton College,8,NA,8,67,36185,/best-colleges/carleton-college-2340,https://bigfuture.collegeboard.org/college-university-search/carleton-college,www.carleton.edu,"$2,965,263 ",NA
15,Claremont McKenna College,8,NA,8,25,21941,/best-colleges/claremont-mckenna-college-1170,https://bigfuture.collegeboard.org/college-university-search/claremont-mc-kenna-college,www.cmc.edu,"$1,224,493 ",NA
16,University of Pennsylvania,8,8,NA,332,44824,/best-colleges/university-of-pennsylvania-3378,https://bigfuture.collegeboard.org/college-university-search/university-of-pennsylvania,www.upenn.edu,NA,NA
17,Duke University,9,9,NA,NA,53334,/best-colleges/duke-university-2920,https://bigfuture.collegeboard.org/college-university-search/duke-university,www.duke.edu,NA,NA
18,California Institute of Technology,10,10,NA,33,51460,/best-colleges/cal-tech-1131,https://bigfuture.collegeboard.org/college-university-search/california-institute-of-technology,www.caltech.edu,"$1,710,292 ",NA
19,Davidson College,10,NA,10,60,39788,/best-colleges/davidson-college-2918,https://bigfuture.collegeboard.org/college-university-search/davidson-college,www.davidson.edu,"$2,943,421 ",NA
20,Washington and Lee University,10,NA,10,59,52278,/best-colleges/washington-and-lee-3768,https://bigfuture.collegeboard.org/college-university-search/washington-and-lee-university,www.wlu.edu,"$3,299,644 ",NA
21,Dartmouth College,11,11,NA,257,53291,/best-colleges/dartmouth-college-2573,https://bigfuture.collegeboard.org/college-university-search/dartmouth-college,www.dartmouth.edu,"$15,367,803 ",NA
22,Johns Hopkins University,11,11,NA,NA,38518,/best-colleges/jhu-2077,https://bigfuture.collegeboard.org/college-university-search/johns-hopkins-university,www.jhu.edu,NA,NA
23,Northwestern University,11,11,NA,105,42259,/best-colleges/northwestern-1739,https://bigfuture.collegeboard.org/college-university-search/northwestern-university,www.northwestern.edu,"$5,797,966 ",NA
24,Colby College,12,NA,12,82,51794,/best-colleges/colby-college-2039,https://bigfuture.collegeboard.org/college-university-search/colby-college,www.colby.edu,"$4,191,443 ",NA
25,Colgate University,12,NA,12,114,50281,/best-colleges/colgate-university-2701,https://bigfuture.collegeboard.org/college-university-search/colgate-university,www.colgate.edu,NA,NA
26,Harvey Mudd College,12,NA,12,29,21556,/best-colleges/harvey-mudd-college-1171,https://bigfuture.collegeboard.org/college-university-search/harvey-mudd-college,www.hmc.edu,"$793,499 ",NA
27,Smith College,12,NA,12,154,48613,/best-colleges/smith-college-2209,https://bigfuture.collegeboard.org/college-university-search/smith-college,www.smith.edu,"$8,642,029 ",NA
28,Vassar College,12,NA,12,92,48916,/best-colleges/vassar-college-2895,https://bigfuture.collegeboard.org/college-university-search/vassar-college,www.vassar.edu,NA,NA
29,Brown University,14,14,NA,207,44925,/best-colleges/brown-university-3401,https://bigfuture.collegeboard.org/college-university-search/brown-university,www.brown.edu,NA,NA
30,Cornell University,14,14,NA,189,52332,/best-colleges/cornell-university-2711,https://bigfuture.collegeboard.org/college-university-search/cornell-university,www.cornell.edu,"$11,221,657 ",NA
31,Rice University,14,14,NA,113,25782,/best-colleges/rice-3604,https://bigfuture.collegeboard.org/college-university-search/rice-university,www.rice.edu,"$3,758,455 ",NA
32,Vanderbilt University,14,14,NA,140,46781,/best-colleges/vanderbilt-3535,https://bigfuture.collegeboard.org/college-university-search/vanderbilt-university,www.vanderbilt.edu,"$7,600,818 ",NA
33,Grinnell College,18,NA,18,207,38267,/best-colleges/grinnell-college-1868,https://bigfuture.collegeboard.org/college-university-search/grinnell-college,www.grinnell.edu,"$7,733,905 ",NA
34,Hamilton College,18,NA,18,62,49582,/best-colleges/hamilton-college-2728,https://bigfuture.collegeboard.org/college-university-search/hamilton-college,www.hamilton.edu,"$3,249,473 ",NA
35,Haverford College,18,NA,18,25,56367,/best-colleges/haverford-college-3274,https://bigfuture.collegeboard.org/college-university-search/haverford-college,www.haverford.edu,"$1,537,662 ",NA
