"","college_name","aid"
"1","Abilene Christian University",9808
"2","Academy of Art University",12510
"3","Adelphi University",15047
"4","Adrian College",21845
"5","Agnes Scott College",20093
"6","Alabama Agricultural and Mechanical University",17029
"7","Alabama State University",24184
"8","Albertus Magnus College",3500
"9","Albion College",17611
"10","Albright College",14885
"11","Alderson Broaddus University",14000
"12","Alfred University",7174
"13","Allegheny College",18708
"14","Alma College",19543
"15","Alvernia University",24310
"16","Alverno College",3035
"17","American International College",34118
"18","American Jewish University",9000
"19","American University of Beirut",5927
"20","Amherst College",55673
"21","Anderson University",7383
"22","Andrews University",26675
"23","Angelo State University",4725
"24","Appalachian Bible College",3000
"25","Aquinas College",10302
"26","Arcadia University",17258
"27","Arizona State University at the Downtown Phoenix campus",14752
"28","Arizona State University at the Polytechnic campus",4643
"29","Arizona State University at the Tempe campus",5709
"30","Arkansas State University",10255
"31","Arkansas Tech University",13365
"32","Armstrong State University",5680
"33","Art Center College of Design",10621
"34","Asbury University",11363
"35","Ashford University",14312
"36","Ashland University",3524
"37","Assumption College",23791
"38","Augsburg College",15386
"39","Augustana College",37958
"40","Aurora University",7050
"41","Austin College",14016
"42","Ave Maria University",9663
"43","Averett University",11921
"44","Azusa Pacific University",7939
"45","Babson College",24661
"46","Baker University",13059
"47","Baldwin Wallace University",12600
"48","Bard College",44032
"49","Bard College at Simon's Rock",29853
"50","Barnard College",48212
"51","Bates College",52700
"52","Bay Path University",17540
"53","Baylor University",13993
"54","Becker College",10178
"55","Bellarmine University",27779
"56","Belmont University",15140
"57","Beloit College",18879
"58","Benedictine College",16097
"59","Benedictine University",3413
"60","Bennington College",44230
"61","Bentley University",18086
"62","Berea College",31737
"63","Berry College",16222
"64","Bethany College",27565
"65","Bethel College",35287
"66","Bethel University",22270
"67","Bethesda University",500
"68","Bethune-Cookman University",15970
"69","Beulah Heights University",2250
"70","Binghamton University, State University of New York",4541
"71","Biola University",8892
"72","Birmingham-Southern College",19748
"73","Bloomfield College",11505
"74","Bloomsburg University of Pennsylvania",6313
"75","Bluefield College",15760
"76","Bluefield State College",8000
"77","Bluffton University",25538
"78","Bob Jones University",4000
"79","Boise Bible College",7500
"80","Boise State University",2129
"81","Boston Architectural College",2640
"82","Boston University",36904
"83","Bowdoin College",43035
"84","Bowie State University",2747
"85","Brandeis University",38519
"86","Brenau University",29799
"87","Brevard College",21988
"88","Brewton-Parker College",15147
"89","Bridgewater College",24798
"90","Brigham Young University",5098
"91","Brigham Young University-Hawaii",6100
"92","Brooklyn College of the City University of New York",2400
"93","Brown University",44925
"94","Bryan College",15468
"95","Bryant University",19300
"96","Bryn Athyn College of the New Church",13177
"97","Bryn Mawr College",43702
"98","Bucknell University",42372
"99","Buena Vista University",26845
"100","Buffalo State College, State University of New York",14632
"101","Cairn University",14329
"102","Caldwell University",22307
"103","California Baptist University",13043
"104","California College of the Arts",8690
"105","California Institute of Integral Studies",1000
"106","California Institute of Technology",51460
"107","California Institute of the Arts",10433
"108","California Lutheran University",15850
"109","California State University, Fresno",11452
"110","California State University, Los Angeles",11350
"111","California State University, San Marcos",1285
"112","California University of Pennsylvania",12319
"113","Calumet College of Saint Joseph",8368
"114","Calvary Bible College and Theological Seminary",5559
"115","Calvin College",15751
"116","Cameron University",3522
"117","Campbellsville University",19100
"118","Canisius College",25730
"119","Capital University",16083
"120","Cardinal Stritch University",18737
"121","Carleton College",36185
"122","Carlow University",7611
"123","Carroll College",26210
"124","Carroll University",24921
"125","Carson-Newman University",12882
"126","Carthage College",23795
"127","Case Western Reserve University",13245
"128","Catawba College",26586
"129","Cazenovia College",10000
"130","Cedar Crest College",13330
"131","Cedarville University",12437
"132","Centenary College",3827
"133","Centenary College of Louisiana",30150
"134","Central Christian College of Kansas",3865
"135","Central Christian College of the Bible",7500
"136","Central College",12367
"137","Central Methodist University",16984
"138","Central Michigan University",6839
"139","Central Washington University",4009
"140","Centre College",16410
"141","Chaminade University of Honolulu",11961
"142","Champlain College",12556
"143","Chapman University",16297
"144","Charleston Southern University",14766
"145","Chatham University",12180
"146","Chestnut Hill College",20878
"147","Chicago State University",19198
"148","Chowan University",21661
"149","Christendom College",11140
"150","Christian Brothers University",18314
"151","Christian Life College",3147
"152","Cincinnati Christian University",13693
"153","Claremont McKenna College",21941
"154","Clark University",25328
"155","Clarke University",10810
"156","Clarkson University",14073
"157","Cleveland Institute of Art",9833
"158","Cleveland State University",15295
"159","Coastal Carolina University",25863
"160","Coe College",22112
"161","Coker College",21990
"162","Colby College",51794
"163","Colgate University",50281
"164","College of Saint Benedict",24120
"165","College of Saint Mary",30738
"166","College of the Atlantic",40534
"167","College of the Holy Cross",34367
"168","College of the Ozarks",13616
"169","Colorado Christian University",5732
"170","Colorado Heights University",500
"171","Colorado Mesa University",6622
"172","Colorado State University",12846
"173","Colorado State University-Pueblo",5886
"174","Columbia Bible College",1000
"175","Columbia College",24957
"176","Columbia College Chicago",9857
"177","Columbia International University",9047
"178","Columbia University",53972
"179","Columbia University, School of General Studies",13319
"180","Columbus College of Art & Design",10373
"181","Columbus State University",7595
"182","Concord University",8350
"183","Concordia University Wisconsin",5111
"184","Connecticut College",47242
"185","Converse College",14950
"186","Cooper Union for the Advancement of Science and Art",39600
"187","Corban University",17709
"188","Cornell College",22074
"189","Cornell University",52332
"190","Cornerstone University",18018
"191","Cornish College of the Arts",5000
"192","Covenant College",14368
"193","Creighton University",14389
"194","Culver-Stockton College",16424
"195","Curry College",13840
"196","D'Youville College",8727
"197","Daemen College",13731
"198","Dakota State University",4703
"199","Dakota Wesleyan University",16313
"200","Dalhousie University",1072
"201","Dallas Baptist University",6280
"202","Dalton State College",1662
"203","Dartmouth College",53291
"204","Davidson College",39788
"205","Davis & Elkins College",12358
"206","Davis College",2346
"207","Defiance College",29573
