college_name,students,bigfuture_link,college_website,total_amount_awarded,college_finaid_link,combined_rank,national_rank,liberal_rank,students_2014,aid_2015,link,act_lower_quartile,act_upper_quartile,sat_lower_quartile,sat_upper_quartile,generosity_index,engineering
Princeton University,433,https://bigfuture.collegeboard.org/college-university-search/princeton-university,www.princeton.edu,"$21,180,000 ",https://admission.princeton.edu/cost-aid,1,1,NA,409,44466,/best-colleges/princeton-university-2627,32,35,1450,1590,1,https://www.princeton.edu/academics/areas-of-study/engineering
Williams College,92,https://bigfuture.collegeboard.org/college-university-search/williams-college,www.williams.edu,"$5,784,344 ",https://admission.williams.edu/apply/international-applicants/,1,NA,1,80,55119,/best-colleges/williams-college-2229,31,34,1390,1560,1,joint degrees
Amherst College,147,https://bigfuture.collegeboard.org/college-university-search/amherst-college,www.amherst.edu,"$9,117,196 ",https://www.amherst.edu/offices/financialaid/international_students,2,NA,2,146,55673,/best-colleges/amherst-college-2115,31,34,1420,1570,1,joint degrees
Harvard University,592,https://bigfuture.collegeboard.org/college-university-search/harvard-college,www.college.harvard.edu,"$35,845,904 ",https://college.harvard.edu/financial-aid/applying-aid/international-students,2,2,NA,530,53409,/best-colleges/harvard-university-2155,32,35,1480,1600,1,https://college.harvard.edu/academics/fields-study/concentrations
Bowdoin College,41,https://bigfuture.collegeboard.org/college-university-search/bowdoin-college,www.bowdoin.edu,"$2,010,562 ",http://www.bowdoin.edu/admissions/apply/international-students,3,NA,3,NA,43035,/best-colleges/bowdoin-college-2038,NA,NA,NA,NA,2,joint degrees
Swarthmore College,56,https://bigfuture.collegeboard.org/college-university-search/swarthmore-college,www.swarthmore.edu,NA,https://www.swarthmore.edu/admissions-aid/international-students,3,NA,3,56,48146,/best-colleges/swarthmore-college-3370,30,34,1360,1550,2,general engineering
Wellesley College,90,https://bigfuture.collegeboard.org/college-university-search/wellesley-college,www.wellesley.edu,"$5,223,268 ",https://www.wellesley.edu/admission/esp/international,3,NA,3,114,50937,/best-colleges/wellesley-college-2224,30,33,1370,1530,2,NA
Yale University,350,https://bigfuture.collegeboard.org/college-university-search/yale-university,www.yale.edu,NA,https://admissions.yale.edu/applying-yale-international-student#financialaid,3,3,NA,350,55862,/best-colleges/yale-university-1426,32,35,1470,1600,1,https://www.yale.edu/academics/departments-programs
Columbia University,NA,https://bigfuture.collegeboard.org/college-university-search/columbia-university,www.college.columbia.edu,NA,https://undergrad.admissions.columbia.edu/apply/intl_fa,5,5,NA,NA,53972,/best-colleges/columbia-university-2707,NA,NA,NA,NA,3,https://engineering.columbia.edu/files/engineering/ExploringMajorsBooklet2013.pdf
Massachusetts Institute of Technology,342,https://bigfuture.collegeboard.org/college-university-search/massachusetts-institute-of-technology,web.mit.edu,"$17,690,728 ",http://catalog.mit.edu/mit/undergraduate-education/financial-aid/,5,5,NA,374,44403,/best-colleges/mit-2178,33,35,1500,1590,2,https://engineering.mit.edu/academics/undergraduate/
Stanford University,188,https://bigfuture.collegeboard.org/college-university-search/stanford-university,www.stanford.edu,"$11,461,928 ",https://financialaid.stanford.edu/undergrad/how/international.html,5,5,NA,187,54194,/best-colleges/stanford-1305,31,35,1430,1590,1,https://majors.stanford.edu/
Middlebury College,138,https://bigfuture.collegeboard.org/college-university-search/middlebury-college,www.middlebury.edu,"$8,000,390 ",http://www.middlebury.edu/admissions/finaid,6,NA,6,129,50530,/best-colleges/middlebury-college-3691,30,33,1340,1530,2,joint degrees
Pomona College,80,https://bigfuture.collegeboard.org/college-university-search/pomona-college,www.pomona.edu,"$4,401,760 ",https://www.pomona.edu/financial-aid/applying-for-aid/international-aid,6,NA,6,NA,45738,/best-colleges/pomona-college-1173,31,34,1400,1560,2,joint degrees
Carleton College,67,https://bigfuture.collegeboard.org/college-university-search/carleton-college,www.carleton.edu,"$2,965,263 ",https://apps.carleton.edu/admissions/afford/international_scholarships/,8,NA,8,26,36185,/best-colleges/carleton-college-2340,30,33,1380,1560,1,joint degrees
Claremont McKenna College,25,https://bigfuture.collegeboard.org/college-university-search/claremont-mc-kenna-college,www.cmc.edu,"$1,224,493 ",https://www.cmc.edu/admission/international,8,NA,8,NA,21941,/best-colleges/claremont-mckenna-college-1170,31,33,1380,1520,2,joint degrees
University of Pennsylvania,332,https://bigfuture.collegeboard.org/college-university-search/university-of-pennsylvania,www.upenn.edu,NA,http://www.admissions.upenn.edu/costs-financial-aid/financial-aid-for-international-students,8,8,NA,332,44824,/best-colleges/university-of-pennsylvania-3378,32,35,1430,1580,1,https://www.seas.upenn.edu/undergraduate/degrees/
Duke University,NA,https://bigfuture.collegeboard.org/college-university-search/duke-university,www.duke.edu,NA,https://financialaid.duke.edu/undergraduate-applicants/other-sources-aid,9,9,NA,NA,53334,/best-colleges/duke-university-2920,31,34,1430,1580,1,https://pratt.duke.edu/undergrad/degrees/bse
California Institute of Technology,33,https://bigfuture.collegeboard.org/college-university-search/california-institute-of-technology,www.caltech.edu,"$1,710,292 ",https://finaid.caltech.edu/applying/NewInternational,10,10,NA,26,51460,/best-colleges/cal-tech-1131,34,36,1540,1600,3,http://www.admissions.caltech.edu/content/options-majors
Davidson College,60,https://bigfuture.collegeboard.org/college-university-search/davidson-college,www.davidson.edu,"$2,943,421 ",https://www.davidson.edu/admission-and-financial-aid/how-to-apply/international-students/financial-aid,10,NA,10,NA,39788,/best-colleges/davidson-college-2918,28,33,1310,1480,2,general engineering
Washington and Lee University,59,https://bigfuture.collegeboard.org/college-university-search/washington-and-lee-university,www.wlu.edu,"$3,299,644 ",https://www.wlu.edu/financial-aid/types-of-aid/aid-for-international-students,10,NA,10,73,52278,/best-colleges/washington-and-lee-3768,30,33,1380,1500,2,general engineering
