"","college_name","act_lower_quartile","act_upper_quartile","sat_lower_quartile","sat_upper_quartile"
"1","Abilene Christian University","21","27","1010","1230"
"2","Abraham Baldwin Agricultural College","17","22","900","1130"
"3","Adams State College","17","22","930","1130"
"4","Adelphi University","22","27","1090","1280"
"5","Adrian College","19","24","920","1090"
"6","Alabama A & M University","16","19","840","1020"
"7","Alabama State University","15","19","820","1000"
"8","Albany College of Pharmacy and Health Sciences","23","27","1120","1310"
"9","Albany State University","17","20","920","1060"
"10","Albion College","20","26","960","1280"
"11","Alcorn State University","16","21","890","1100"
"12","Alderson Broaddus College","18","23","950","1110"
"13","Alfred University","20","26","990","1210"
"14","Alice Lloyd College","18","25","990","1200"
"15","Alma College","21","26","960","1250"
"16","Alvernia University","19","23","960","1160"
"17","American International College","16","22","850","1070"
"18","American University","26","31","1220","1400"
"19","Amherst College","31","34","1420","1570"
"20","Anderson University","19","25","990","1180"
"21","Anderson University","19","25","1010","1210"
"22","Anderson University","21","26","990","1180"
"23","Anderson University","21","26","1010","1210"
"24","Andrews University","21","29","1010","1330"
"25","Angelo State University","18","24","950","1130"
"26","Appalachian Bible College","17","20","940","1050"
"27","Appalachian State University","23","27","1110","1310"
"28","Aquinas College","21","28","1100","1370"
"29","Aquinas College","21","26","1100","1370"
"30","Arcadia University","23","28","1080","1280"
"31","Arizona Christian University","18","22","940","1160"
"32","Arizona State University","22","28","1100","1340"
"33","Arkansas State University Main Campus","21","26","1010","1270"
"34","Armstrong State University","19","23","970","1150"
"35","Asbury University","21","28","1080","1310"
"36","Ashland University","20","25","1040","1240"
"37","Auburn University","24","30","1130","1320"
"38","Auburn University at Montgomery","19","24","960","1080"
"39","Augsburg College","19","25","990","1270"
"40","Augusta State University","18","22","960","1150"
"41","Augustana College","23","29","1010","1300"
"42","Aurora University","19","24","930","1130"
"43","Austin College","23","29","1160","1380"
"44","Austin Peay State University","19","24","1010","1190"
"45","Ave Maria University","21","27","1050","1300"
"46","Averett University","16","21","890","1090"
"47","Avila University","19","23","960","1100"
"48","Azusa Pacific University","20","26","980","1200"
"49","Babson College","27","31","1240","1420"
"50","Bacone College","15","19","830","1000"
"51","Baker University","20","25","1050","1260"
"52","Ball State University","20","24","1070","1240"
"53","Barnard College","29","33","1330","1510"
"54","Barry University","18","21","930","1090"
"55","Barton College","17","23","930","1120"
"56","Bay Path College","19","25","920","1140"
"57","Baylor University","26","30","1190","1370"
"58","Becker College","21","26","1000","1200"
"59","Bellarmine University","22","27","1060","1230"
"60","Belmont Abbey College","18","24","960","1160"
"61","Belmont University","24","29","1120","1310"
"62","Beloit College","24","30","1130","1420"
"63","Benedictine College","21","28","970","1300"
"64","Bentley University","25","30","1130","1350"
"65","Berry College","24","29","1130","1310"
"66","Bethany College","18","23","930","1100"
"67","Bethany College","18","23","850","1080"
"68","Bethany College","17","23","930","1100"
"69","Bethany College","17","23","850","1080"
"70","Bethany Lutheran College","20","27","960","1210"
"71","Bethel College Mishawaka","20","25","990","1220"
"72","Bethel University","17","22","1070","1330"
"73","Bethel University","17","22","870","1130"
"74","Bethel University","21","28","1070","1330"
"75","Bethel University","21","28","870","1130"
"76","Biola University","21","27","1030","1290"
"77","Birmingham Southern College","23","28","1070","1250"
"78","Black Hills State University","19","24","960","1170"
"79","Blackburn College","18","23","870","970"
"80","Bloomfield College","16","20","860","1030"
"81","Bloomsburg University of Pennsylvania","18","23","950","1140"
"82","Blue Mountain College","18","23","980","1270"
"83","Bluefield College","17","21","870","1090"
"84","Bluefield State College","17","22","950","1140"
"85","Bob Jones University","20","26","980","1280"
"86","Boise Bible College","17","24","1000","1210"
"87","Boise State University","20","26","1000","1220"
"88","Boston Baptist College","13","19","1030","1170"
"89","Boston College","30","33","1320","1500"
"90","Boston University","28","32","1290","1470"
"91","Bowie State University","15","19","860","1020"
"92","Bowling Green State University Main Campus","19","24","980","1220"
"93","Bradley University","22","28","1040","1310"
"94","Brandeis University","29","33","1330","1510"
"95","Brenau University","19","24","940","1110"
"96","Brescia University","20","26","940","1120"
"97","Bridgewater College","20","26","990","1180"
"98","Bridgewater State University","19","24","970","1160"
"99","Brigham Young University Hawaii","22","26","1050","1230"
"100","Brigham Young University Idaho","20","25","980","1180"
"101","Brigham Young University Provo","27","31","1230","1430"
"102","Brown University","31","34","1420","1580"
"103","Bryan College","21","26","1030","1410"
"104","Bryn Athyn College of the New Church","18","23","870","1180"
"105","Bryn Mawr College","28","32","1290","1490"
"106","Bucknell University","28","32","1270","1430"
"107","Buena Vista University","19","26","920","1080"
"108","Butler University","25","30","1130","1330"
"109","Cabarrus College of Health Sciences","20","24","950","1090"
"110","Cabrini College","19","23","960","1130"
"111","Caldwell College","18","23","930","1140"
"112","California Baptist University","19","24","930","1170"
"113","California Institute of Technology","34","36","1540","1600"
"114","California Lutheran University","22","27","1070","1270"
"115","California Polytechnic State University San Luis Obispo","26","31","1220","1420"
"116","California State Polytechnic University Pomona","20","27","980","1230"
"117","California State University Chico","19","24","960","1170"
"118","California State University Fresno","16","22","880","1090"
"119","California State University Fullerton","19","24","1000","1190"
"120","California State University Long Beach","20","26","1010","1230"
"121","California State University Los Angeles","15","20","860","1060"
"122","California State University Northridge","16","23","880","1110"
"123","California State University Sacramento","17","22","910","1130"
"124","California State University San Bernardino","16","20","860","1060"
"125","California State University San Marcos","18","23","940","1130"
"126","California University of Pennsylvania","16","22","890","1110"
"127","Calvary Bible College and Theological Seminary","20","25","800","980"
"128","Calvin College","23","29","1130","1350"
"129","Campbell University","19","25","1000","1200"
"130","Campbellsville University","19","24","960","1160"
"131","Canisius College","22","28","1050","1260"
"132","Capital University","22","28","1030","1250"
"133","Capitol College","19","26","940","1230"
"134","Cardinal Stritch University","18","22","1010","1150"
"135","Carleton College","30","33","1380","1560"
"136","Carlow University","19","24","950","1140"
"137","Carnegie Mellon University","31","34","1430","1560"
"138","Carroll College","22","28","1070","1290"
"139","Carroll University","21","26","1020","1220"
"140","Carson Newman College","20","26","920","1190"
"141","Carthage College","21","27","1000","1210"
"142","Case Western Reserve University","30","34","1340","1520"
"143","Castleton State College","17","24","940","1140"
"144","Catawba College","18","24","930","1160"
"145","Cazenovia College","20","23","920","1160"
"146","Cedar Crest College","19","24","960","1160"
"147","Cedarville University","23","29","1150","1370"
"148","Centenary College","15","21","910","1130"
"149","Centenary College of Louisiana","22","28","1020","1240"
"150","Central Baptist College","19","25","890","1050"
"151","Central Bible College","19","24","1120","1350"
"152","Central Christian College of Kansas","17","22","900","1070"
"153","Central Christian College of the Bible","18","25","1010","1380"
"154","Central College","21","26","1030","1350"
"155","Central Connecticut State University","19","24","980","1170"
"156","Central Methodist University College of Liberal Arts & Sciences","20","24","920","1070"
"157","Central Michigan University","20","25","970","1210"
"158","Central Penn College","13","17","750","990"
"159","Central State University","15","18","770","940"
"160","Central Washington University","18","24","1040","1220"
"161","Centre College","26","31","1150","1400"
"162","Chaminade University of Honolulu","19","23","950","1130"
"163","Champlain College","22","28","1100","1310"
"164","Chapman University","25","30","1180","1360"
"165","Charleston Southern University","20","24","990","1180"
"166","Chestnut Hill College","17","21","930","1140"
"167","Chicago State University","16","20","940","1340"
"168","Chowan University","14","17","810","970"
"169","Christopher Newport University","23","28","1130","1310"
"170","Cincinnati Christian University","18","22","860","1140"
"171","Citadel Military College of South Carolina","20","25","1030","1230"
"172","Claflin University","18","20","910","1030"
"173","Claremont McKenna College","31","33","1380","1520"
"174","Clarion University of Pennsylvania","17","23","920","1120"
"175","Clark Atlanta University","18","21","900","1050"
"176","Clarke University","20","25","930","1130"
"177","Clarkson University","24","29","1150","1340"
